codigo,descricao,salario_medio_atual,modelo_vencedor,score,previsao_5,previsao_10,previsao_15,previsao_20,tendencia_salarial,tendencia_mercado
10105,Oficial General da Aeronautica,1520.5,XGBoost,0.9999634751456773,1518.564697265625,1518.564697265625,1518.564697265625,1518.564697265625,Estável,CRESCIMENTO LEVE
10110,Oficial General do Exercito,1362.0,XGBoost,0.9999600408613681,1361.4732666015625,1361.4732666015625,1361.4732666015625,1361.4732666015625,Estável,CRESCIMENTO LEVE
10115,Oficial General da Marinha,1212.0,Fallback,0.0,1212.0,1212.0,1212.0,1212.0,Estável,RETRAÇÃO LEVE
10205,Oficial da Aeronautica,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
10210,Oficial do Exercito,1302.0,Fallback,0.0,1302.0,1302.0,1302.0,1302.0,Estável,CRESCIMENTO LEVE
10215,Oficial da Marinha,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
10305,Praca da Aeronautica,1426.0,XGBoost,0.9999600250423442,1423.3214111328125,1423.3214111328125,1423.3214111328125,1423.3214111328125,Estável,RETRAÇÃO LEVE
10310,Praca do Exercito,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
10315,Praca da Marinha,2950.5,XGBoost,0.9999675253710043,2941.33349609375,2941.33349609375,2941.33349609375,2941.33349609375,Estável,RETRAÇÃO LEVE
20105,Coronel da Policia Militar,912.9,XGBoost,0.9999601455690683,909.61962890625,909.61962890625,909.61962890625,909.61962890625,Estável,RETRAÇÃO LEVE
20110,Tenente-Coronel da Policia Militar,1800.0,Fallback,0.0,1800.0,1800.0,1800.0,1800.0,Estável,RETRAÇÃO LEVE
20115,Major da Policia Militar,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
20205,Capitao da Policia Militar,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
20305,Primeiro Tenente de Policia Militar,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
20310,Segundo Tenente de Policia Militar,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
21105,Subtenente da Policia Militar,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
21110,Sargento da Policia Militar,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
21205,Cabo da Policia Militar,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
21210,Soldado da Policia Militar,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
30105,Coronel Bombeiro Militar,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
30110,Major Bombeiro Militar,1500.0,Fallback,0.0,1500.0,1500.0,1500.0,1500.0,Estável,RETRAÇÃO LEVE
30115,Tenente-Coronel Bombeiro Militar,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
30205,Capitao Bombeiro Militar,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
30305,Tenente do Corpo de Bombeiros Militar,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
31105,Subtenente Bombeiro Militar,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
31110,Sargento Bombeiro Militar,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
31205,Cabo Bombeiro Militar,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
31210,Soldado Bombeiro Militar,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
111105,Senador,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
111110,Deputado Federal,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
111115,Deputado Estadual e Distrital,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
111120,Vereador,609.3888888888889,XGBoost,0.9999652977936828,612.4234619140625,612.4234619140625,612.4234619140625,612.4234619140625,Estável,CRESCIMENTO LEVE
111205,Presidente da Republica,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
