codigo,descricao,salario_medio_atual,modelo_vencedor,score,previsao_5,previsao_10,previsao_15,previsao_20,tendencia_salarial,tendencia_mercado
10105,Oficial General da Aeronautica,1726.94,Fallback,0.6634,1793.024382979078,1858.4576174901454,2033.5479624781665,2049.3005069987075,Decrescente,CRESCIMENTO LEVE
10110,Oficial General do Exercito,1760.14,ARIMA,1.1813,1807.396660714051,2037.4601196701913,2137.5806582566606,2160.9644304881795,Decrescente,NOVA TENDÊNCIA
10115,Oficial General da Marinha,1626.11,XGBoost,0.8703,1721.5212838054322,1808.1835255561502,1858.3371560038868,2043.8159538698128,Decrescente,MERCADO INCERTO
10205,Oficial da Aeronautica,1967.38,Fallback,0.7111,2078.1062683093605,2112.34815385775,2126.37596862251,2353.9075021384992,Oscilante,CRESCIMENTO LEVE
10210,Oficial do Exercito,1913.48,ARIMA,1.1854,2011.9988931424211,2191.771175357334,2236.321791114245,2429.9924289880087,Crescente,IMPREVISÍVEL
10215,Oficial da Marinha,2000.7,XGBoost,0.6792,2143.8535846994573,2168.73905263256,2335.17671825608,2279.8401685645763,Oscilante,IMPREVISÍVEL
10305,Praca da Aeronautica,1882.63,Fallback,0.6586,1996.5948079573652,2158.1133234287363,2206.968245997063,2199.2278932916674,Crescente,IMPREVISÍVEL
10310,Praca do Exercito,1644.47,ARIMA,0.9641,1686.8498064489506,1813.854109126147,1850.805640957,2109.4007047478494,Crescente,ALTA NOS ÚLTIMOS MESES
10315,Praca da Marinha,1927.08,Holt-Winters,1.1836,1990.7611218707748,2130.992824565381,2143.3729207357906,2130.7548999074024,Decrescente,CRESCIMENTO LEVE
20105,Coronel da Policia Militar,1625.71,Fallback,0.5619,1724.136016713092,1884.3945522028932,2003.7596089598803,2020.0626063262018,Decrescente,CRESCIMENTO VOLÁTIL
20110,Tenente-Coronel da Policia Militar,2018.08,XGBoost,0.8246,2099.3335482380317,2276.806828521165,2520.447721728398,2372.0089701853317,Oscilante,NOVA TENDÊNCIA
20115,Major da Policia Militar,1852.25,Fallback,0.7761,1942.0793223737974,2146.144767698959,2223.8089094007137,2155.669104651009,Oscilante,ALTA NOS ÚLTIMOS MESES
